fuel_type,kms_run,sale_price,city,body_type,transmission,variant,registered_city,registered_state,rto,make,model,total_owners,car_rating,fitness_certificate,warranty_avail,age
petrol,8063,386399,noida,hatchback,manual,lxi opt,delhi,delhi,dl6c,maruti,swift,2,great,True,False,6
petrol,23104,265499,noida,hatchback,manual,lxi,noida,uttar pradesh,up16,maruti,alto 800,1,great,True,False,5
petrol,23402,477699,noida,hatchback,manual,sports 1.2 vtvt,agra,uttar pradesh,up80,hyundai,grand i10,1,great,True,False,4
diesel,39124,307999,noida,hatchback,manual,vdi,delhi,delhi,dl1c,maruti,swift,1,great,True,False,8
petrol,22116,361499,noida,hatchback,manual,magna 1.2 vtvt,new delhi,delhi,dl12,hyundai,grand i10,1,great,True,False,6
petrol,23534,335299,noida,hatchback,automatic,vxi (o) amt,delhi,delhi,dl2c,maruti,alto k10,1,great,True,False,3
diesel,41213,281999,noida,hatchback,manual,vdi,delhi,delhi,dl12,maruti,ritz,1,great,True,False,9
petrol,38328,321499,noida,hatchback,manual,asta 1.2,noida,uttar pradesh,up16,hyundai,i20,3,great,True,False,9
diesel,56402,456199,noida,hatchback,manual,magna 1.4 crdi,noida,uttar pradesh,up16,hyundai,elite i20,1,great,True,False,7
petrol,32703,281299,noida,hatchback,manual,rxl,noida,uttar pradesh,up16,renault,kwid,1,great,True,False,3
petrol,53180,206899,noida,hatchback,manual,lxi,delhi,delhi,dl9c,maruti,alto 800,1,great,True,False,7
petrol,44219,194699,noida,hatchback,manual,sportz 1.2,gurgaon,haryana,hr26,hyundai,i10,1,good,True,False,13
diesel,55764,287999,noida,hatchback,manual,sportz 1.4 crdi,new delhi,delhi,dl7c,hyundai,i20,2,great,True,False,9
petrol,58581,235699,noida,hatchback,manual,1.2 v mt i vtec,ghaziabad,uttar pradesh,up14,honda,brio,1,great,True,False,9
petrol,49761,207499,noida,hatchback,manual,magna 1.2 kappa2,delhi,delhi,dl10,hyundai,i10,1,good,True,False,10
petrol,63808,304199,noida,sedan,manual,s mt petrol,noida,uttar pradesh,up16,honda,city,1,great,True,False,11
petrol,70126,217599,noida,hatchback,manual,sportz 1.2 kappa2,delhi,delhi,dl3c,hyundai,i10,1,great,True,False,10
petrol,49817,216899,noida,hatchback,manual,d lite plus,panchkula,haryana,hr03,hyundai,eon,1,great,True,False,8
diesel,62806,396499,noida,hatchback,manual,vdi abs,noida,uttar pradesh,up16,maruti,swift,1,great,True,False,6
petrol,58396,347399,noida,hatchback,manual,1.2 s mt i vtec,delhi,delhi,dl13,honda,brio,2,great,True,False,6
petrol,59559,209799,noida,hatchback,manual,era plus,ghaziabad,uttar pradesh,up14,hyundai,eon,1,great,True,False,7
diesel,68355,398799,noida,sedan,manual,fluidic 1.6 sx crdi,gurgaon,haryana,hr26,hyundai,verna,1,great,True,False,9
petrol,82078,207099,noida,hatchback,manual,vxi bs iv,delhi,delhi,dl3c,maruti,ritz,1,great,True,False,11
diesel,66350,318399,noida,hatchback,manual,vdi,delhi,delhi,dl8c,maruti,swift,1,great,True,False,8
petrol,56231,180999,noida,hatchback,manual,lxi,meerut,uttar pradesh,up15,maruti,alto,2,good,True,False,11
petrol,72985,227699,noida,hatchback,manual,magna o 1.2,gurgaon,haryana,hr26,hyundai,i20,1,great,True,False,11
petrol,79244,164899,noida,hatchback,manual,gls,delhi,delhi,dl3c,hyundai,santro xing,1,good,True,False,12
petrol,71876,389699,noida,hatchback,manual,vxi,delhi,delhi,dl2c,maruti,swift,1,great,True,False,7
petrol,90479,224299,noida,sedan,manual,vxi 1.2 bs iv,faridabad,haryana,hr51,maruti,swift dzire,1,great,True,False,10
diesel,66940,397199,noida,suv,manual,1.5 trend tdci,faridabad,haryana,hr51,ford,ecosport,1,great,True,False,8
diesel,80394,332499,noida,sedan,manual,vdi bs iv,noida,uttar pradesh,up16,maruti,swift dzire,1,great,True,False,8
diesel,77954,306899,noida,sedan,manual,vdi bs iv,new delhi,delhi,dl3c,maruti,swift dzire,2,great,True,False,9
petrol,82364,287099,noida,sedan,manual,xl petrol,delhi,delhi,dl11,nissan,sunny,1,great,True,False,9
diesel,66743,276299,noida,sedan,manual,s 1.1 crdi,delhi,delhi,dl10,hyundai,xcent,1,great,True,False,7
diesel,114402,228699,noida,hatchback,manual,vdi,new delhi,delhi,dl4c,maruti,ritz,1,great,True,False,9
diesel,83767,244399,noida,hatchback,manual,magna o 1.4 crdi,noida,uttar pradesh,up16,hyundai,i20,1,great,True,False,9
diesel,87914,266299,noida,hatchback,manual,d 4d gd,delhi,delhi,dl12,toyota,etios liva,1,great,True,False,9
diesel,74429,314499,noida,hatchback,manual,vdi,noida,uttar pradesh,up14,maruti,swift,2,great,True,False,8
diesel,81137,381299,noida,hatchback,manual,vdi,ghaziabad,uttar pradesh,up14,maruti,swift,2,great,True,False,7
diesel,85689,302299,noida,hatchback,manual,sportz 1.4 crdi,goutam  budd  nagar,uttar pradesh,up16,hyundai,i20,1,great,True,False,9
petrol,139038,165499,noida,hatchback,manual,gl plus,delhi,delhi,dl3c,hyundai,santro xing,1,great,True,False,10
petrol,82328,364399,noida,hatchback,manual,sportz 1.2 kappa vtvt,delhi,delhi,dl2c,hyundai,grand i10,1,great,True,False,8
diesel,87238,542699,noida,sedan,manual,fluidic 1.6 crdi s,ghaziabad,uttar pradesh,up14,hyundai,verna,1,great,True,False,6
petrol,95236,202499,noida,sedan,manual,vxi,noida,uttar pradesh,up16,maruti,swift dzire,2,great,True,False,11
petrol,92532,215599,noida,hatchback,manual,vxi,new delhi,delhi,dl12,maruti,alto k10,1,great,True,False,9
petrol & cng,104962,326499,noida,hatchback,manual,vxi cng,faridabad,haryana,hr51,maruti,celerio,1,great,True,False,5
diesel,88453,545799,noida,hatchback,manual,alpha ddis 190,delhi,delhi,dl1c,maruti,baleno,1,great,True,False,5
diesel,77823,390699,noida,sedan,manual,zdi,delhi,delhi,dl4c,maruti,swift dzire,1,great,True,False,8
diesel,82016,274399,noida,sedan,manual,ldi bs iv,delhi,delhi,dl3c,maruti,swift dzire,2,great,True,False,8
diesel,112314,294799,noida,hatchback,manual,sportz 1.4 crdi,gurgaon,haryana,hr26,hyundai,i20,1,great,True,False,9
diesel,96826,352799,noida,sedan,manual,vdi,noida,uttar pradesh,up16,maruti,swift dzire,1,great,True,False,8
diesel,91280,405399,noida,hatchback,manual,vdi abs,faridabad,haryana,hr51,maruti,swift,1,great,True,False,6
diesel,92527,372899,noida,hatchback,manual,vdi abs,noida,uttar pradesh,up16,maruti,swift,1,great,True,False,6
